CourseID,CourseName,Credits,Lecture,Lab,Lab_Type
CSC425,Soft Computing,3,1,1,Classroom
CSC426,Distributed Systems,3,1,1,Classroom
CSC427,Design Patterns,3,1,1,Classroom
CSC428,Multimedia Communications,3,1,1,Classroom
CSC429,Embedded Systems,3,1,1,Classroom
CSE214,Computer Organization,3,1,1,Classroom
CSE312,Discrete Mathematics,3,1,1,Classroom
CSE423,Computer Graphics and Visualization,3,1,1,Classroom
ECE111,Digital Logic Design,3,1,1,Classroom
ECE213,Introduction to Electronics Engineering,3,1,1,Classroom
ECE214,Digital Signal Processing,3,1,1,Classroom
ECE223,Signal and Systems,3,1,1,Classroom
ECE324,Digital Signal Processing,3,1,1,Classroom
LRA101,Japanese Culture,2,1,0,Classroom
LRA102,Introduction to Philosophy,2,1,0,Classroom
LRA103,Fine Arts Appreciation-Drawing and Paintings,2,1,0,Classroom
LRA104,Music and Technology,2,1,0,Classroom
LRA105,Theater and Drama,2,1,0,Classroom
LRA106,Physical Education,2,1,0,Classroom
LRA107,Selected topics in Japanese arts,2,1,0,Classroom
LRA108,Art and Architecture of Ancient Egypt,2,1,0,Classroom
LRA109,Introduction to Cultural Anthropology,2,1,0,Classroom
LRA110,Modern Egyptian History,2,1,0,Classroom
LRA201,Introduction to Economics and Sustainable Development,2,1,0,Classroom
LRA202,Peace studies,2,1,0,Classroom
LRA203,Entrepreneurship and Innovation,2,1,0,Classroom
LRA204,Public Policy,2,1,0,Classroom
LRA205,Egyptian Business Regulations,2,1,0,Classroom
LRA206,Sociology of work,2,1,0,Classroom
LRA207,African and Middle Eastern studies,2,1,0,Classroom
LRA208,Safety and Risk Management,2,1,0,Classroom
LRA302,Introduction to Life Sciences,2,1,0,Classroom
LRA303,Introduction to Environmental Biology,2,1,0,Classroom
LRA304,Water and Politics in Africa and Middle East,2,1,0,Classroom
LRA305,Astronomy,2,1,0,Classroom
LRA306,Natural Resources and Sustainability,2,1,0,Classroom
LRA401,Japanese Language (1),1,0,1,Classroom
LRA402,Japanese Language (2),1,0,1,Classroom
LRA403,Japanese Language (3),1,0,1,Classroom
LRA404,Japanese Language (4),1,0,1,Classroom
LRA405,Key Skills Seminar (1),2,1,0,Classroom
LRA406,Key Skills Seminar (2),2,1,0,Classroom
LRA407,English Language,2,1,0,Classroom
LRA408,Arabic Language,2,1,0,Classroom
LRA409,Research Methods,2,1,0,Classroom
LRA410,Fundamentals of Communication,2,1,0,Classroom
LRA411,Transformational Leadership,2,1,0,Classroom
MTH111,Mathematics (1),3,1,1,Classroom
MTH121,Mathematics (2),3,1,1,Classroom
MTH212,Probability and Statistics,3,1,1,Classroom
PHY113,Physics 1,3,1,1,Classroom
PHY123,Physics 2,3,1,1,Classroom
