Day,StartTime,EndTime,CourseID,CourseName,Type,InstructorID,Instructor,Room,Sections,StudentCount
Monday,12:30 PM,2:00 PM,MTH111,Mathematics (1),Lab,A01,BAS Department Staff,B25 G.16,CSIT-1-s7,25
Monday,12:30 PM,2:00 PM,PHY113,Physics 1,Lab,A06,Eng. Fatima Ali,B18 F1.05,CSIT-1-s5,25
Monday,12:30 PM,2:00 PM,LRA401,Japanese Language (1),Lab,A38,Prof. Yumi Sato,B17 G.12,CSIT-1-s1,25
Monday,12:30 PM,2:00 PM,CNC418,Software Security,Lab,A41,Eng. Omar Hassan,B17 F1.18,CSIT-4-CNC-s3,25
Monday,2:15 PM,3:45 PM,ECE324,Digital Signal Processing,Lab,A02,ECE Department Staff,B07 F1.23,CSIT-3-AID-s3,25
Monday,2:15 PM,3:45 PM,LRA401,Japanese Language (1),Lab,A38,Prof. Yumi Sato,B17 G.21,CSIT-1-s9,25
Monday,9:00 AM,10:30 AM,LRA105,Theater and Drama,Lecture,P33,Dr. Omar Sharif,B25 F1-19,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
Monday,9:00 AM,10:30 AM,CNC111,Networks and Web Programming,Lecture,P05,Dr. Ahmed Anter,B26 F1.10,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
Monday,9:00 AM,10:30 AM,AID312,Intelligent Systems,Lecture,P07,Dr. Ahmed Bayumi,Hall - Red,"CSIT-3-CNC-s3, CSIT-3-CSC-s1, CSIT-3-CSC-s2",65
Monday,9:00 AM,10:30 AM,CNC311,Computer Networks,Lecture,P38,Prof. Samir Ahmed,B18 F1-21,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
Monday,9:00 AM,10:30 AM,AID417,Advanced Data Mining,Lecture,P27,Dr. Mohamed Issa,B26 G-22 ,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
Monday,9:00 AM,10:30 AM,ECE111,Digital Logic Design,Lab,A02,ECE Department Staff,B07 F1.24,CSIT-1-s7,25
Monday,9:00 AM,10:30 AM,MTH111,Mathematics (1),Lab,A24,Eng. Yousef Ali,B26 G.13,CSIT-1-s8,25
Monday,9:00 AM,10:30 AM,LRA401,Japanese Language (1),Lab,A40,Prof. Lina Morales,B25 F1.14,CSIT-1-s5,25
Monday,9:00 AM,10:30 AM,CSC211,Software Engineering,Lab,A13,Eng. Nada Ahmed,B10 F1.18,CSIT-2-s2,25
Monday,9:00 AM,10:30 AM,CSC211,Software Engineering,Lab,A36,Eng. Adam Mohamed,B17 G.02,CSIT-2-s3,25
Monday,9:00 AM,10:30 AM,AID312,Intelligent Systems,Lab,A28,Eng. Omar Hassan,B09 F1.14,CSIT-3-BIF-s1,15
Monday,9:00 AM,10:30 AM,CSC317,Computer Graphics and Visualization,Lab,A21,Eng. Salma Waleed,B07 F1.20,CSIT-3-CNC-s2,25
Monday,9:00 AM,10:30 AM,CSC111,Fundamentals of Programming,Lab,A35,Eng. Maryam Essam,B26 G.02,CSIT-1-s4,25
Monday,9:00 AM,10:30 AM,CNC419,IT Security and Risk Management,Lecture,P19,Dr. Hataba,B8 Theater,"CSIT-4-CNC-s1, CSIT-4-CNC-s2, CSIT-4-CNC-s3",75
Monday,9:00 AM,10:30 AM,CSC414,Game Design & Development,Lab,A42,Eng. Fatima Ali,B26 G.21,CSIT-4-CSC-s2,15
Monday,9:00 AM,10:30 AM,PHY113,Physics 1,Lab,A06,Eng. Fatima Ali,B18 G.12,CSIT-1-s6,25
Monday,9:00 AM,10:30 AM,ACM215,Ordinary Differential Equations,Lab,A43,Eng. Ali Sato,B17 F1.17,CSIT-2-s1,25
Monday,9:00 AM,10:30 AM,CNC111,Networks and Web Programming,Lab,A45,Eng. Yousef Said,B10 F1.10,CSIT-2-s6,25
Sunday,10:45 AM,12:15 PM,CSC111,Fundamentals of Programming,Lecture,P35,Dr. Reda Elbasiony ,B10 Theater,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
Sunday,10:45 AM,12:15 PM,PHY113,Physics 1,Lecture,P01,Dr. Adel Fathy,B07 G.01,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
Sunday,10:45 AM,12:15 PM,MTH212,Probability and Statistics,Lecture,P14,Dr. Ayman Arafa,B17 G.09,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
Sunday,10:45 AM,12:15 PM,CSC317,Computer Graphics and Visualization,Lecture,P19,Dr. Hataba,B18 G.08,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
